machine_id,factory_id,machine_name,machine_type,installation_date,status
1,15,Machine_1,Painting,2022-06-09,IDLE
2,14,Machine_2,Painting,2020-04-15,IDLE
3,20,Machine_3,Painting,2017-08-18,IDLE
4,25,Machine_4,Painting,2026-04-18,IDLE
5,16,Machine_5,CNC,2025-07-30,MAINTENANCE
6,9,Machine_6,Welding,2025-09-15,RUNNING
7,18,Machine_7,Testing,2019-12-25,IDLE
8,16,Machine_8,Cutting,2025-05-30,IDLE
9,9,Machine_9,Testing,2023-10-16,IDLE
10,15,Machine_10,Welding,2022-10-08,MAINTENANCE
11,6,Machine_11,CNC,2019-08-20,IDLE
12,13,Machine_12,CNC,2024-10-24,RUNNING
13,2,Machine_13,Welding,2024-04-17,MAINTENANCE
14,18,Machine_14,Cutting,2024-10-30,RUNNING
15,4,Machine_15,Cutting,2021-01-02,MAINTENANCE
16,9,Machine_16,Packaging,2022-07-18,RUNNING
17,11,Machine_17,Packaging,2020-09-11,IDLE
18,16,Machine_18,Cutting,2021-09-01,IDLE
19,4,Machine_19,Assembly,2022-08-20,IDLE
20,16,Machine_20,Painting,2022-04-01,RUNNING
21,9,Machine_21,CNC,2019-12-11,RUNNING
22,7,Machine_22,CNC,2018-10-27,RUNNING
23,17,Machine_23,Painting,2018-09-13,RUNNING
24,23,Machine_24,Packaging,2022-05-29,RUNNING
25,4,Machine_25,CNC,2022-10-03,IDLE
26,7,Machine_26,CNC,2016-08-12,RUNNING
27,18,Machine_27,Painting,2019-06-09,IDLE
28,7,Machine_28,Welding,2016-08-18,MAINTENANCE
29,24,Machine_29,Cutting,2025-06-05,RUNNING
30,20,Machine_30,Welding,2017-06-12,IDLE
31,19,Machine_31,Testing,2023-07-05,RUNNING
32,24,Machine_32,CNC,2025-07-28,IDLE
33,22,Machine_33,Cutting,2020-09-06,RUNNING
34,2,Machine_34,CNC,2024-06-09,RUNNING
35,14,Machine_35,CNC,2026-02-13,RUNNING
36,21,Machine_36,Assembly,2020-11-11,RUNNING
37,6,Machine_37,Assembly,2018-09-30,MAINTENANCE
38,5,Machine_38,Welding,2020-01-31,IDLE
39,17,Machine_39,Packaging,2021-08-05,MAINTENANCE
40,3,Machine_40,Cutting,2022-09-23,IDLE
41,22,Machine_41,CNC,2016-09-12,IDLE
42,5,Machine_42,Cutting,2018-05-09,MAINTENANCE
43,11,Machine_43,CNC,2016-09-11,IDLE
44,23,Machine_44,CNC,2023-01-17,MAINTENANCE
45,25,Machine_45,Cutting,2022-10-16,RUNNING
46,3,Machine_46,CNC,2023-02-10,RUNNING
47,18,Machine_47,Cutting,2019-08-26,IDLE
48,2,Machine_48,Assembly,2018-04-06,MAINTENANCE
49,25,Machine_49,Painting,2017-08-10,IDLE
50,6,Machine_50,Testing,2018-09-19,IDLE
51,11,Machine_51,Packaging,2019-03-28,RUNNING
52,15,Machine_52,CNC,2020-04-28,MAINTENANCE
53,2,Machine_53,Painting,2024-11-28,IDLE
54,16,Machine_54,Packaging,2021-07-17,IDLE
55,7,Machine_55,Packaging,2024-11-15,IDLE
56,24,Machine_56,Cutting,2017-07-10,RUNNING
57,19,Machine_57,CNC,2021-11-19,IDLE
58,7,Machine_58,Welding,2026-02-17,MAINTENANCE
59,8,Machine_59,CNC,2017-09-06,RUNNING
60,16,Machine_60,CNC,2016-07-02,MAINTENANCE
61,19,Machine_61,Cutting,2021-11-03,IDLE
62,25,Machine_62,Packaging,2025-01-27,MAINTENANCE
63,6,Machine_63,Welding,2026-04-08,MAINTENANCE
64,21,Machine_64,Cutting,2020-09-02,IDLE
65,22,Machine_65,Packaging,2020-06-18,MAINTENANCE
66,20,Machine_66,Testing,2016-07-02,RUNNING
67,17,Machine_67,Cutting,2023-01-24,MAINTENANCE
68,23,Machine_68,Testing,2022-05-24,MAINTENANCE
69,10,Machine_69,Cutting,2019-05-29,MAINTENANCE
70,19,Machine_70,Cutting,2018-11-01,RUNNING
71,21,Machine_71,Cutting,2019-09-13,MAINTENANCE
72,14,Machine_72,Painting,2024-08-13,MAINTENANCE
73,13,Machine_73,Cutting,2022-03-11,MAINTENANCE
74,5,Machine_74,Cutting,2022-10-12,MAINTENANCE
75,5,Machine_75,Assembly,2022-06-02,MAINTENANCE
76,2,Machine_76,Welding,2018-08-26,IDLE
77,9,Machine_77,Welding,2020-06-06,IDLE
78,3,Machine_78,Testing,2017-12-10,RUNNING
79,11,Machine_79,Painting,2018-11-20,RUNNING
80,4,Machine_80,Painting,2019-09-04,MAINTENANCE
81,9,Machine_81,CNC,2022-04-02,IDLE
82,20,Machine_82,Painting,2017-03-29,IDLE
83,14,Machine_83,Packaging,2021-07-21,MAINTENANCE
84,8,Machine_84,CNC,2020-04-07,RUNNING
85,22,Machine_85,Cutting,2026-01-07,IDLE
86,16,Machine_86,Cutting,2018-05-05,RUNNING
87,12,Machine_87,Cutting,2026-04-24,IDLE
88,3,Machine_88,Assembly,2026-06-18,IDLE
89,2,Machine_89,Cutting,2018-02-01,MAINTENANCE
90,13,Machine_90,CNC,2022-03-27,RUNNING
91,18,Machine_91,Painting,2025-09-26,RUNNING
92,12,Machine_92,Testing,2016-12-12,IDLE
93,2,Machine_93,Testing,2018-04-21,IDLE
94,3,Machine_94,Assembly,2019-10-19,MAINTENANCE
95,12,Machine_95,Welding,2020-05-31,IDLE
96,24,Machine_96,Welding,2023-01-06,RUNNING
97,21,Machine_97,CNC,2020-11-01,IDLE
98,15,Machine_98,Painting,2020-04-08,IDLE
99,18,Machine_99,Testing,2025-07-17,IDLE
100,1,Machine_100,Assembly,2018-10-27,MAINTENANCE
101,25,Machine_101,Testing,2019-01-06,RUNNING
102,3,Machine_102,CNC,2021-06-24,MAINTENANCE
103,24,Machine_103,Assembly,2020-04-11,RUNNING
104,15,Machine_104,Testing,2026-01-28,IDLE
105,6,Machine_105,Packaging,2018-09-04,MAINTENANCE
106,24,Machine_106,Cutting,2023-11-01,RUNNING
107,2,Machine_107,CNC,2019-09-23,RUNNING
108,6,Machine_108,Testing,2017-04-10,RUNNING
109,8,Machine_109,CNC,2017-03-17,RUNNING
110,9,Machine_110,Packaging,2025-11-09,MAINTENANCE
111,20,Machine_111,Painting,2017-08-30,RUNNING
112,12,Machine_112,Packaging,2024-04-18,RUNNING
113,11,Machine_113,Testing,2024-01-30,MAINTENANCE
114,18,Machine_114,Painting,2020-04-05,IDLE
115,25,Machine_115,Testing,2017-09-13,MAINTENANCE
116,17,Machine_116,Welding,2024-06-21,RUNNING
117,24,Machine_117,Packaging,2022-11-19,MAINTENANCE
118,14,Machine_118,Packaging,2019-04-01,IDLE
119,19,Machine_119,Packaging,2024-03-11,RUNNING
120,14,Machine_120,Cutting,2026-04-16,IDLE
121,8,Machine_121,Assembly,2019-12-10,IDLE
122,8,Machine_122,Painting,2022-12-26,IDLE
123,23,Machine_123,Welding,2022-05-03,RUNNING
124,14,Machine_124,Welding,2018-11-01,RUNNING
125,4,Machine_125,Packaging,2018-04-02,IDLE
126,21,Machine_126,Welding,2018-09-01,MAINTENANCE
127,10,Machine_127,Cutting,2021-10-18,RUNNING
128,18,Machine_128,Packaging,2020-12-17,RUNNING
129,21,Machine_129,Welding,2018-07-16,RUNNING
130,10,Machine_130,CNC,2025-10-24,IDLE
131,5,Machine_131,Testing,2022-09-19,RUNNING
132,8,Machine_132,CNC,2023-11-06,MAINTENANCE
133,8,Machine_133,Packaging,2023-08-19,IDLE
134,19,Machine_134,Assembly,2024-09-14,IDLE
135,25,Machine_135,Assembly,2018-06-24,IDLE
136,5,Machine_136,Cutting,2021-12-26,MAINTENANCE
137,7,Machine_137,Painting,2023-12-28,RUNNING
138,14,Machine_138,Cutting,2018-06-05,RUNNING
139,17,Machine_139,Packaging,2019-01-19,IDLE
140,18,Machine_140,CNC,2025-12-04,RUNNING
141,1,Machine_141,Welding,2024-12-22,MAINTENANCE
142,13,Machine_142,Cutting,2025-09-07,IDLE
143,11,Machine_143,Packaging,2024-12-18,MAINTENANCE
144,10,Machine_144,Testing,2018-01-01,RUNNING
145,13,Machine_145,CNC,2022-06-24,IDLE
146,18,Machine_146,Painting,2024-12-25,IDLE
147,2,Machine_147,Painting,2025-04-09,MAINTENANCE
148,11,Machine_148,Painting,2019-08-04,RUNNING
149,21,Machine_149,Painting,2021-10-15,RUNNING
150,22,Machine_150,Cutting,2023-09-19,MAINTENANCE
151,19,Machine_151,Packaging,2022-07-20,IDLE
152,24,Machine_152,Packaging,2023-03-06,RUNNING
153,7,Machine_153,Welding,2020-03-26,MAINTENANCE
154,14,Machine_154,Assembly,2016-09-01,RUNNING
155,22,Machine_155,Cutting,2017-07-31,IDLE
156,5,Machine_156,CNC,2018-06-09,IDLE
157,15,Machine_157,CNC,2022-03-05,RUNNING
158,17,Machine_158,Welding,2020-05-23,RUNNING
159,5,Machine_159,CNC,2021-08-17,IDLE
160,15,Machine_160,Painting,2022-10-20,RUNNING
161,2,Machine_161,Assembly,2022-08-03,IDLE
162,9,Machine_162,Painting,2021-04-02,IDLE
163,8,Machine_163,Packaging,2023-07-25,IDLE
164,15,Machine_164,Assembly,2018-12-09,MAINTENANCE
165,9,Machine_165,Testing,2018-10-01,MAINTENANCE
166,15,Machine_166,Cutting,2020-01-15,RUNNING
167,2,Machine_167,Packaging,2025-06-27,IDLE
168,16,Machine_168,Packaging,2021-01-10,IDLE
169,7,Machine_169,Painting,2020-04-03,MAINTENANCE
170,11,Machine_170,CNC,2018-07-05,MAINTENANCE
171,4,Machine_171,Cutting,2025-09-30,RUNNING
172,17,Machine_172,Welding,2016-09-15,MAINTENANCE
173,4,Machine_173,Testing,2019-01-16,RUNNING
174,9,Machine_174,Cutting,2024-12-09,RUNNING
175,1,Machine_175,Packaging,2022-05-22,MAINTENANCE
176,4,Machine_176,Testing,2016-12-09,MAINTENANCE
177,3,Machine_177,Testing,2019-01-22,IDLE
178,1,Machine_178,Packaging,2018-02-21,IDLE
179,16,Machine_179,Cutting,2021-06-09,IDLE
180,10,Machine_180,Assembly,2023-05-13,IDLE
181,16,Machine_181,Assembly,2017-10-09,RUNNING
182,12,Machine_182,Cutting,2019-08-23,MAINTENANCE
183,12,Machine_183,CNC,2025-11-04,RUNNING
184,16,Machine_184,Cutting,2024-07-12,MAINTENANCE
185,9,Machine_185,Painting,2025-10-30,RUNNING
186,25,Machine_186,Assembly,2021-02-13,MAINTENANCE
187,3,Machine_187,Assembly,2021-02-25,MAINTENANCE
188,20,Machine_188,Assembly,2025-05-07,IDLE
189,18,Machine_189,CNC,2022-10-17,MAINTENANCE
190,12,Machine_190,Welding,2019-03-09,RUNNING
191,22,Machine_191,Painting,2021-11-03,MAINTENANCE
192,22,Machine_192,Welding,2026-01-01,MAINTENANCE
193,10,Machine_193,Painting,2022-08-08,MAINTENANCE
194,11,Machine_194,Welding,2023-05-30,IDLE
195,16,Machine_195,Packaging,2020-10-20,RUNNING
196,22,Machine_196,Painting,2018-09-25,RUNNING
197,21,Machine_197,Painting,2022-02-21,RUNNING
198,9,Machine_198,Assembly,2018-08-03,RUNNING
199,5,Machine_199,Painting,2026-04-06,MAINTENANCE
200,4,Machine_200,Testing,2020-11-29,IDLE
201,17,Machine_201,Testing,2023-02-04,IDLE
