production_id,factory_id,machine_id,product_id,production_date,target_units,actual_units,downtime_minutes,defects,shift
1,18,665,205,2025-10-07,975,900,93,2,Night
2,2,466,137,2025-06-26,1174,894,79,16,Evening
3,13,758,482,2025-09-16,1041,938,20,4,Evening
4,12,167,292,2026-03-22,912,866,59,3,Night
5,7,714,160,2025-11-26,934,921,54,21,Night
6,17,278,7,2026-05-12,936,757,101,15,Evening
7,3,501,497,2025-08-21,1200,816,67,23,Evening
8,14,829,355,2025-09-01,831,723,15,1,Evening
9,17,770,411,2025-07-14,1019,940,16,23,Evening
10,9,723,456,2025-07-16,1047,606,102,12,Morning
11,5,786,390,2025-12-30,801,685,113,20,Night
12,7,358,55,2025-11-22,1055,648,76,14,Night
13,25,141,177,2026-04-18,1075,778,110,23,Morning
14,5,728,438,2025-08-13,997,622,57,11,Morning
15,3,19,280,2025-07-10,1007,726,29,16,Morning
16,25,278,500,2026-04-06,1001,938,84,2,Night
17,1,539,163,2025-09-01,805,690,11,11,Evening
18,20,7,380,2026-06-19,1025,751,32,25,Evening
19,13,173,217,2025-10-07,986,870,12,17,Night
20,10,240,97,2026-03-12,1162,779,61,7,Evening
21,19,924,457,2026-06-03,1169,761,54,7,Evening
22,6,525,185,2025-07-13,841,746,80,2,Morning
23,15,154,59,2025-07-07,872,825,107,12,Evening
24,14,980,31,2025-12-11,869,828,70,10,Night
25,8,500,286,2025-11-05,972,607,67,19,Night
26,21,24,239,2025-08-23,809,740,41,1,Night
27,24,206,273,2026-03-18,1116,1096,64,17,Night
28,4,783,270,2026-03-06,1119,892,43,11,Morning
29,16,972,202,2025-11-29,1167,906,14,20,Evening
30,4,983,1,2025-11-04,849,613,96,0,Morning
31,3,472,358,2025-09-08,1075,690,8,21,Night
32,15,716,287,2025-12-09,871,832,48,17,Morning
33,13,125,405,2025-07-30,1027,738,116,25,Evening
34,16,247,491,2025-11-04,1008,870,13,23,Night
35,4,937,492,2025-10-31,985,875,102,12,Evening
36,5,375,238,2025-10-01,1160,1064,64,8,Evening
37,4,929,426,2025-10-20,1078,955,79,6,Night
38,17,251,348,2026-01-16,931,603,100,23,Morning
39,15,126,19,2025-10-27,1110,855,39,3,Night
40,5,471,487,2026-05-05,1040,943,103,19,Morning
41,4,655,373,2026-01-16,1129,1057,83,8,Evening
42,13,673,25,2025-11-18,1075,640,91,21,Morning
43,18,878,194,2026-05-06,1144,974,30,21,Evening
44,9,499,25,2025-11-15,1018,868,17,1,Morning
45,11,7,147,2025-12-06,1175,616,12,18,Evening
46,12,129,160,2026-03-14,1179,744,62,21,Night
47,14,438,175,2025-10-28,937,706,59,0,Night
48,10,378,127,2026-01-23,939,661,51,10,Evening
49,5,131,470,2025-10-19,914,880,35,9,Morning
50,13,521,144,2026-03-11,817,719,47,21,Evening
51,16,390,295,2025-11-06,1001,893,64,17,Night
52,4,860,147,2025-09-30,1120,1016,48,21,Night
53,17,402,454,2025-12-20,921,880,113,14,Evening
54,3,787,280,2025-08-02,929,893,87,19,Evening
55,25,367,419,2026-03-05,1158,734,64,0,Morning
56,8,902,180,2026-01-02,841,624,78,6,Morning
57,16,48,306,2025-09-08,804,644,55,8,Evening
58,15,890,345,2025-12-16,869,830,82,12,Morning
59,16,661,265,2026-04-28,836,662,24,3,Morning
60,13,755,247,2026-01-16,916,866,34,20,Night
61,8,311,420,2025-12-21,886,731,23,14,Evening
62,20,605,345,2025-10-20,851,836,50,10,Evening
63,21,408,460,2025-11-11,868,690,27,23,Night
64,10,547,70,2026-01-31,1170,726,120,21,Evening
65,25,430,460,2025-10-09,999,673,27,17,Night
66,17,994,427,2025-11-06,870,829,7,12,Evening
67,7,353,197,2026-01-13,976,951,86,21,Night
68,10,956,68,2026-03-12,1175,812,38,15,Morning
69,6,292,309,2025-10-14,995,898,51,22,Morning
70,11,478,132,2026-02-03,1033,774,30,1,Morning
71,9,647,383,2025-07-27,916,905,90,10,Morning
72,19,676,344,2025-10-15,889,729,15,3,Morning
73,10,864,298,2025-12-04,968,760,46,6,Evening
74,11,259,302,2026-01-06,1036,677,89,6,Evening
75,19,259,490,2026-03-09,1161,1046,4,14,Night
76,23,892,157,2025-07-27,992,853,8,0,Evening
77,6,184,470,2025-08-23,1056,813,119,6,Morning
78,12,806,230,2025-07-10,1079,660,9,14,Night
79,13,153,249,2025-11-12,1136,838,37,2,Evening
80,22,876,217,2025-10-23,933,641,109,19,Morning
81,2,181,42,2026-06-02,1158,1078,98,20,Night
82,23,730,270,2026-01-04,889,697,42,12,Morning
83,2,551,338,2025-10-02,1161,964,14,19,Morning
84,4,239,40,2026-06-08,1096,654,21,9,Morning
85,15,873,90,2025-11-05,837,670,60,1,Evening
86,23,510,485,2025-09-01,916,859,3,15,Night
87,12,270,297,2025-09-11,934,734,80,12,Morning
88,7,369,139,2025-09-17,909,815,83,9,Night
89,22,7,255,2025-12-19,1141,957,112,22,Evening
90,23,707,147,2025-11-15,851,771,31,2,Evening
91,7,947,71,2025-09-06,1059,791,39,21,Evening
92,24,147,238,2025-10-27,805,776,65,12,Night
93,16,160,247,2025-09-10,1056,905,1,8,Morning
94,19,329,288,2026-05-05,1146,733,102,12,Evening
95,8,759,356,2026-01-27,885,800,30,8,Morning
96,24,393,55,2026-03-21,885,789,99,24,Evening
97,5,108,101,2025-08-24,1009,706,26,10,Morning
98,23,763,45,2025-08-13,1002,884,109,14,Morning
99,16,719,81,2026-03-25,933,823,89,15,Evening
100,1,351,170,2025-12-02,1182,954,86,7,Night
101,7,264,499,2026-01-12,885,765,24,4,Night
102,6,560,340,2025-08-02,1062,769,85,16,Night
103,1,674,36,2026-04-30,1048,688,27,8,Night
104,10,423,486,2025-08-03,1050,813,14,4,Evening
105,4,302,189,2025-09-17,906,761,111,9,Morning
106,24,995,172,2026-04-09,831,829,20,16,Evening
107,19,824,278,2025-11-07,1071,957,118,12,Night
108,22,525,43,2025-12-20,906,614,100,11,Night
109,4,700,168,2025-06-21,908,654,49,16,Evening
110,8,896,222,2025-09-24,878,600,26,11,Night
111,8,142,476,2026-02-03,1039,788,104,21,Morning
112,23,893,327,2026-06-03,1082,840,70,13,Morning
113,19,297,149,2026-01-10,977,638,64,5,Night
114,3,485,272,2026-05-27,1125,989,42,0,Morning
115,25,422,476,2025-09-20,1100,602,39,18,Evening
116,15,5,108,2026-05-24,801,651,67,25,Morning
117,19,701,40,2025-11-19,1149,655,91,16,Night
118,19,822,42,2025-06-29,927,638,45,24,Morning
119,2,43,492,2026-03-26,984,645,1,20,Evening
120,24,314,204,2026-06-18,1057,745,33,3,Morning
121,23,790,447,2026-03-07,925,875,8,9,Night
122,7,546,324,2026-06-03,854,800,76,20,Night
123,22,404,255,2025-12-07,845,605,104,8,Night
124,9,251,144,2025-08-10,951,606,49,0,Morning
125,18,345,392,2026-02-21,1056,776,48,23,Night
126,6,569,133,2025-09-25,1185,1020,74,7,Night
127,1,184,274,2025-09-11,1089,1019,27,4,Evening
128,9,527,498,2026-03-20,958,628,60,12,Morning
129,3,779,343,2025-08-01,1090,650,115,17,Evening
130,4,158,409,2025-12-04,972,772,107,3,Morning
131,9,73,472,2025-09-07,1107,989,70,16,Evening
132,24,227,151,2025-11-09,914,674,84,23,Night
133,11,5,248,2025-06-22,1143,915,34,9,Morning
134,20,322,271,2025-11-13,1041,682,76,24,Evening
135,15,517,236,2025-09-03,1099,644,70,22,Evening
136,22,802,60,2025-12-24,913,902,92,12,Evening
137,13,332,105,2025-09-02,1174,789,97,4,Evening
138,18,731,343,2026-03-06,859,812,67,17,Night
139,4,126,85,2025-10-29,1009,607,52,5,Night
140,17,715,45,2025-08-25,1106,923,69,13,Evening
141,21,11,233,2025-09-08,800,795,66,9,Evening
142,16,254,178,2025-09-15,818,651,91,16,Evening
143,18,158,117,2026-01-29,1008,711,66,0,Morning
144,20,987,346,2026-02-18,864,805,34,16,Morning
145,13,458,405,2025-09-26,899,779,34,15,Evening
146,18,211,28,2026-06-05,1022,919,108,16,Morning
147,18,243,179,2026-05-06,1075,609,86,16,Morning
148,22,760,182,2025-08-02,1033,1002,86,14,Evening
149,5,918,100,2026-04-29,1175,667,14,19,Morning
150,25,17,323,2025-12-29,1193,961,8,20,Evening
151,10,311,221,2025-09-14,1156,1074,104,22,Morning
152,1,546,270,2026-05-18,841,663,48,18,Evening
153,10,657,382,2025-10-16,800,646,27,14,Night
154,9,776,376,2025-09-01,1039,1010,74,1,Evening
155,10,354,181,2026-04-01,851,745,74,2,Night
156,3,107,45,2025-08-13,846,742,22,23,Night
157,6,682,388,2025-11-18,894,701,25,15,Morning
158,24,835,109,2025-10-15,1114,861,84,12,Night
159,5,792,404,2025-11-23,1021,974,54,1,Night
160,10,115,160,2025-12-22,1050,805,113,5,Evening
161,20,437,347,2025-10-23,817,775,62,12,Morning
162,6,164,284,2025-07-26,873,763,96,17,Morning
163,19,845,134,2025-11-27,1046,904,15,5,Night
164,23,223,46,2026-04-17,1106,657,22,19,Morning
165,14,360,43,2026-02-06,1122,747,91,9,Night
166,21,422,371,2026-01-16,1049,644,42,22,Night
167,24,120,370,2025-12-15,824,677,36,21,Evening
168,3,112,186,2025-12-22,1050,937,112,5,Morning
169,15,459,245,2025-07-10,1072,968,26,13,Night
170,17,712,176,2025-11-19,1122,797,36,7,Night
171,17,610,357,2025-12-04,837,745,53,25,Evening
172,16,325,18,2025-09-24,1024,958,12,10,Evening
173,16,466,98,2026-04-19,849,645,33,22,Morning
174,24,617,261,2025-12-14,1132,1026,94,17,Night
175,15,444,365,2026-04-27,888,741,51,14,Evening
176,8,542,472,2026-02-07,948,694,35,23,Morning
177,15,961,497,2026-05-10,892,822,62,7,Morning
178,12,450,269,2025-12-07,1017,816,107,17,Night
179,24,770,347,2025-10-20,1007,791,18,14,Night
180,20,899,322,2025-10-15,1176,644,111,8,Evening
181,14,152,496,2026-04-14,1116,692,100,0,Night
182,6,221,441,2025-10-19,985,804,41,4,Night
183,15,989,304,2025-06-28,1124,674,6,23,Evening
184,22,408,478,2025-12-07,991,935,89,16,Evening
185,23,747,329,2025-09-16,1149,688,29,12,Night
186,6,537,149,2026-05-24,1106,920,5,0,Evening
187,1,562,367,2025-10-15,814,657,10,19,Evening
188,18,981,162,2026-03-04,1092,766,58,21,Evening
189,13,372,344,2025-08-14,808,657,30,13,Evening
190,6,118,201,2025-11-14,999,820,68,20,Night
191,19,526,238,2025-07-05,1042,603,20,1,Night
192,8,439,371,2026-03-02,913,730,116,14,Night
193,1,844,236,2026-01-25,969,691,86,13,Evening
194,4,421,93,2025-12-26,894,707,95,9,Night
195,10,828,376,2025-06-23,946,919,46,8,Morning
196,11,475,151,2026-05-17,985,719,104,3,Evening
