warehouse_id,warehouse_name,city,capacity
1,Warehouse_1,Lucknow,23628
2,Warehouse_2,Hyderabad,29616
3,Warehouse_3,Chennai,10006
4,Warehouse_4,Lucknow,29249
5,Warehouse_5,Chennai,39462
6,Warehouse_6,Kolkata,17821
7,Warehouse_7,Ahmedabad,19686
8,Warehouse_8,Lucknow,48365
9,Warehouse_9,Kolkata,7755
10,Warehouse_10,Jaipur,17352
11,Warehouse_11,Ahmedabad,13212
12,Warehouse_12,Delhi,34516
13,Warehouse_13,Ahmedabad,37737
14,Warehouse_14,Lucknow,28173
15,Warehouse_15,Bangalore,13721
16,Warehouse_16,Kolkata,35676
17,Warehouse_17,Chennai,29575
18,Warehouse_18,Delhi,28442
19,Warehouse_19,Mumbai,9242
20,Warehouse_20,Jaipur,33062
21,Warehouse_21,Mumbai,22078
22,Warehouse_22,Jaipur,13915
23,Warehouse_23,Ahmedabad,37926
24,Warehouse_24,Bangalore,16227
25,Warehouse_25,Bangalore,21103
26,Warehouse_26,Kolkata,33165
27,Warehouse_27,Chennai,39007
28,Warehouse_28,Kolkata,27349
29,Warehouse_29,Chennai,26333
30,Warehouse_30,Mumbai,35908
31,Warehouse_31,Hyderabad,29024
32,Warehouse_32,Delhi,13967
33,Warehouse_33,Lucknow,40917
34,Warehouse_34,Bangalore,37319
35,Warehouse_35,Mumbai,30077
36,Warehouse_36,Bangalore,10033
37,Warehouse_37,Kolkata,23433
38,Warehouse_38,Ahmedabad,33911
39,Warehouse_39,Bangalore,17523
40,Warehouse_40,Kolkata,39853
41,Warehouse_41,Lucknow,12634
42,Warehouse_42,Jaipur,20820
43,Warehouse_43,Bangalore,42164
44,Warehouse_44,Lucknow,19852
45,Warehouse_45,Lucknow,43677
46,Warehouse_46,Lucknow,21475
47,Warehouse_47,Delhi,40531
48,Warehouse_48,Ahmedabad,20140
49,Warehouse_49,Jaipur,24517
50,Warehouse_50,Ahmedabad,47536
